aaa,9963614,8804,160,303
aab,9361115,9579,207,321
aac,9134159,9920,61,203
aad,9515200,8144,7,14
aae,9794708,9776,32,102
aaf,9926114,7670,5,6
aag,9990315,8151,91,124
aba,9938284,10925,116,194
abb,9891036,7607,50,87
abc,9823990,7414,213,315
abd,9730368,10168,141,251
abe,9630645,9026,62,90
abf,9927918,8662,124,277
abg,9889572,10696,122,257
aca,9817592,8983,39,64
acb,9792522,9389,48,137
acc,9910192,9241,102,163
acd,9875512,10004,5,5
ace,9988440,9539,66,101
acf,9879955,7979,50,145
acg,9956540,9667,76,260
ada,9939977,8660,117,279
adb,9902260,9145,34,98
adc,9921115,7990,69,113
add,9809541,8113,39,96
ade,9865940,8980,166,285
adf,9956311,7739,56,136
adg,9993837,9776,161,280
aea,9974727,9599,125,203
aeb,9917768,7244,184,242
aec,9995566,9153,194,313
aed,9869924,10124,8,29
aee,9976932,9217,115,283
aef,9728983,10277,84,173
aeg,9524061,9157,127,335
afa,9903091,8829,19,61
afb,9913004,8459,12,37
afc,9577467,7939,269,354
afd,9959781,10011,18,72
afe,9951008,9088,184,324
aff,9771946,8251,34,88
afg,9939456,9332,87,189
aga,9651403,7595,238,507
agb,9278587,11146,301,646
agc,9818915,8870,104,280
agd,9883311,9811,115,176
age,9925242,7034,41,85
agf,9841346,8968,86,155
agg,9902581,8449,34,147
baa,9849433,9006,117,188
bab,9703016,8666,229,319
bac,9955102,8606,38,132
bad,9921382,7044,23,44
bae,9793554,7452,10,28
baf,9988634,10204,41,66
bag,9814451,8351,53,119
bba,9780175,8411,64,100
bbb,9763614,11049,16,46
bbc,9801255,10161,49,111
bbd,9942490,8898,65,192
bbe,9913624,7074,120,233
bbf,9948861,7941,196,313
bbg,9379965,8348,188,371
bca,9898220,9610,8,22
bcb,9953622,7547,14,48
bcc,9870535,8393,14,54
bcd,9914001,9752,57,101
bce,9961067,8507,9,23
bcf,9860550,8603,70,125
bcg,9990918,7545,92,238
bda,9994046,9202,179,242
bdb,9769667,8244,180,239
bdc,9792440,8792,103,169
bdd,9504048,8782,67,123
bde,9981589,8889,68,190
bdf,9648962,8282,81,151
bdg,9409214,9439,77,130
bea,9831713,8457,109,189
beb,9942730,8421,160,274
bec,9382419,10442,45,102
bed,9881631,9051,61,85
bee,9762019,7303,168,280
bef,9962355,7454,126,227
beg,9838801,8258,145,274
bfa,9868349,9273,88,137
bfb,9359906,9902,50,129
bfc,9357997,10413,88,132
bfd,9672708,10105,68,209
bfe,9959654,7728,124,190
bff,9874355,9432,6,13
bfg,9834297,9591,82,178
bga,9687003,6925,66,233
bgb,9923068,9618,300,432
bgc,9815018,7822,7,21
bgd,9857616,7909,93,194
bge,9427639,8969,15,34
bgf,9792361,9415,137,324
bgg,9678456,9662,63,101
caa,9696457,8179,136,229
cab,9856521,8420,38,179
cac,9979140,9780,60,180
cad,9779502,8430,22,48
cae,9904256,7784,115,221
caf,9747244,8443,263,426
cag,9981166,10688,13,37
cba,9704447,9302,67,116
cbb,9724529,7260,177,272
cbc,9986723,8262,856,1891
cbd,9917856,8437,67,160
cbe,9976547,8625,409,745
cbf,9980273,7545,40,66
cbg,9987525,8426,21,40
cca,9898212,8239,98,278
ccb,9925181,9622,292,457
ccc,9348706,9332,158,209
ccd,9846201,8744,65,161
cce,9763795,8435,16,60
ccf,9701131,9620,331,554
ccg,9769010,8657,138,222
cda,9862588,10812,21,67
cdb,9586236,7810,217,355
cdc,9310960,8857,43,66
cdd,9975831,10652,391,724
cde,9855002,10187,88,171
cdf,9152001,9996,6,17
cdg,9982325,8009,240,364
cea,9773947,10052,167,308
ceb,9653208,8691,163,278
cec,9967877,9623,172,355
ced,9921534,11009,133,287
cee,9787702,9371,43,88
cef,9971713,8304,60,117
ceg,9604734,8421,38,77
cfa,9996493,8870,72,234
cfb,9817744,7714,26,94
cfc,9216907,8536,137,295
cfd,9823644,8090,178,326
cfe,9996894,9308,710,1291
cff,9724102,8988,68,120
cfg,9978334,8801,142,320
cga,9651100,9969,219,330
cgb,9817254,8951,744,1610
cgc,9947770,8786,186,399
cgd,9930467,8552,26,84
cge,9928103,9102,18,43
cgf,9845110,8119,346,554
cgg,9908935,9630,67,143
daa,9851430,8715,118,247
dab,9770601,8477,6,18
dac,9645553,10009,59,236
dad,9978597,8641,11,30
dae,9820834,10074,71,277
daf,9956782,7803,89,248
dag,9786761,10185,109,174
dba,9996381,8071,100,208
dbb,9826796,8919,219,371
dbc,9799765,8341,305,647
dbd,9982160,6260,135,308
dbe,9997038,8298,187,439
dbf,9737440,8441,91,211
dbg,9999002,10479,211,477
dca,9945423,8326,225,679
dcb,9872175,10516,416,604
dcc,9965220,10133,223,338
dcd,9271258,9776,481,787
dce,9779945,8274,10,29
dcf,9439948,9172,44,68
dcg,9869849,7564,49,92
dda,9816661,10547,50,113
ddb,9507157,7607,155,289
ddc,9954589,8759,32,88
ddd,9773111,7649,47,96
dde,9234607,10583,9,36
ddf,9798896,9742,245,491
ddg,9536026,10602,86,241
dea,9798096,8517,27,43
deb,9822084,8308,39,59
dec,9876806,7963,164,244
ded,9931320,11606,123,267
dee,9979984,8968,176,252
def,9971307,6580,116,281
deg,9787744,8669,183,304
dfa,9427053,8682,177,302
dfb,9586907,10216,91,232
dfc,9829201,8877,98,188
dfd,9984204,10572,76,141
dfe,9897294,9260,39,101
dff,9437303,8361,157,316
dfg,9708144,10273,61,127
dga,9993475,9276,195,314
dgb,9972456,9193,165,542
dgc,9951371,8528,14,42
dgd,9948848,8114,273,509
dge,9769413,8843,37,73
dgf,9994118,8490,291,567
dgg,9811338,8974,240,374
eaa,9778728,8519,112,184
eab,9601293,8969,68,163
eac,9864399,9280,128,198
ead,9700610,9034,54,128
eae,9921623,10024,53,90
eaf,9759961,7806,434,565
eag,9917099,8374,117,227
eba,9958775,8284,134,180
ebb,9909422,8712,272,501
ebc,9800776,8815,9,18
ebd,9645390,8147,10,28
ebe,9678561,8774,64,192
ebf,9872957,8577,33,100
ebg,9765456,10231,12,40
eca,9958222,10441,68,212
ecb,9999290,6601,6,12
ecc,9893424,9447,441,805
ecd,9537592,7779,96,155
ece,9977478,7991,133,207
ecf,9893663,7313,113,193
ecg,9995787,9814,40,97
eda,9644974,9413,443,793
edb,9943761,9388,265,411
edc,9984318,8746,43,63
edd,9850668,9087,55,109
ede,9988107,8969,106,209
edf,9947129,8763,223,480
edg,9955504,8115,87,264
eea,9762964,9362,141,258
eeb,9946598,9963,264,487
eec,9756347,8209,33,108
eed,9769102,8741,354,696
eee,9832218,9819,155,287
eef,9862316,8469,198,272
eeg,9842896,11960,11,51
efa,9867123,8105,44,179
efb,9886252,9191,409,683
efc,9807177,9401,548,1223
efd,9717509,8690,109,229
efe,9763108,8649,123,234
eff,9908152,8943,426,618
efg,9966575,9572,87,219
ega,9749406,7913,43,109
egb,9986190,9250,223,339
egc,9754244,8498,93,221
egd,9878024,10075,117,186
ege,9894528,9377,131,238
egf,9650961,8704,83,248
egg,9953472,7936,182,439
faa,9830251,10736,49,103
fab,9876846,8271,28,90
fac,9753279,8081,78,193
fad,9389244,7940,11,45
fae,9408466,9567,5,16
faf,9626493,10014,90,198
fag,9964817,8195,103,209
fba,9958696,9309,50,87
fbb,9611225,9762,162,251
fbc,9946232,10486,35,75
fbd,9716956,9819,11,36
fbe,9773408,8321,45,121
fbf,9769367,10054,66,109
fbg,9873009,8739,333,508
fca,9977627,9326,50,103
fcb,9878500,10412,13,38
fcc,9790621,9061,25,35
fcd,9950463,8126,239,493
fce,9993180,8452,60,127
fcf,9929194,8291,104,199
fcg,9928349,9268,357,563
fda,9862574,8034,85,146
fdb,9620991,9878,450,831
fdc,9510911,9096,115,220
fdd,9880936,8785,222,393
fde,9762530,9436,141,257
fdf,9941759,9036,111,220
fdg,9939107,10339,6,14
fea,9807865,8614,63,100
feb,9970994,8851,48,88
fec,9998724,9056,131,229
fed,9801029,6920,76,148
fee,9993084,10640,9,26
fef,9952606,8062,102,248
feg,9837908,9576,61,160
ffa,9864284,7718,76,135
ffb,9993952,9743,138,282
ffc,9980420,9715,45,292
ffd,9993248,8469,122,274
ffe,9640637,9597,165,241
fff,9960848,9280,30,77
ffg,9848369,10208,94,275
fga,9882833,8220,74,170
fgb,9976024,9204,59,141
fgc,9997892,9202,122,240
fgd,9999604,7870,12,42
fge,9928900,8612,8,19
fgf,9917356,7694,133,202
fgg,9492329,8942,19,54
gaa,9785645,6770,190,298
gab,9850200,9722,253,425
gac,9814078,9840,87,206
gad,9917254,9013,89,165
gae,9779505,10989,5,7
gaf,9891989,9729,107,178
gag,9554583,9273,12,32
gba,9802858,11309,111,232
gbb,9972433,8630,112,257
gbc,9990663,10118,158,294
gbd,9533944,9876,65,114
gbe,9936538,8126,114,200
gbf,9934862,10020,150,305
gbg,9772242,9657,31,102
gca,9966799,7177,188,356
gcb,9857830,8384,253,365
gcc,9961346,8743,78,121
gcd,9710484,7888,103,274
gce,9968216,8801,224,290
gcf,9846618,6554,88,147
gcg,9973365,7584,77,164
gda,9961411,8775,168,265
gdb,9846696,9364,156,319
gdc,9861051,9548,28,51
gdd,9948797,8102,372,911
gde,9943686,8809,112,195
gdf,9946517,7849,40,92
gdg,9656073,8359,168,269
gea,9906701,7842,50,128
geb,9857707,11235,36,97
gec,9958301,9586,67,130
ged,9697579,9163,112,190
gee,9825973,6758,144,183
gef,9970821,8374,155,240
geg,9986732,8034,7,44
gfa,9864613,8663,45,72
gfb,9440006,8540,238,353
gfc,9855981,9089,135,249
gfd,9998146,8282,39,70
gfe,9963863,9182,577,970
gff,9929152,6938,142,241
gfg,9736737,9852,152,258
gga,9915601,9076,56,135
ggb,9931244,8429,262,448
ggc,9332869,11494,134,306
ggd,9878322,9772,5,11
gge,9980991,7576,61,157
ggf,9858141,7756,55,151
ggg,9994039,9025,5,5
